time,package,value
3,0.0,165.0810000000056
3,1.0,136.89600000000792
6,0.0,184.97499999997672
6,1.0,147.6369999999879
9,0.0,193.29000000000815
9,1.0,147.8020000000106
12,0.0,215.92999999999302
12,1.0,142.70299999999406
15,0.0,205.99700000000303
15,1.0,132.00800000000163
18,0.0,219.1150000000198
18,1.0,134.1860000000015
21,0.0,234.66199999998207
21,1.0,146.62299999999232
24,1.0,139.48700000000827
24,0.0,197.92699999999604
27,1.0,136.97699999999895
27,0.0,163.6020000000135
30,1.0,135.096000000005
30,0.0,180.24499999999534
33,1.0,152.12699999999313
33,0.0,244.52499999999418
36,0.0,242.84300000002258
36,1.0,134.89400000000023
39,0.0,241.35899999999674
39,1.0,136.09500000000116
42,0.0,244.59599999999045
42,1.0,137.38000000000466
45,0.0,277.39100000000326
45,1.0,154.18599999998696
48,1.0,131.8530000000028
48,0.0,240.71299999998882
51,0.0,238.83500000002095
51,1.0,137.1319999999978
54,1.0,134.31900000000314
54,0.0,205.07199999998556
57,0.0,170.40200000000186
57,1.0,148.0520000000106
60,1.0,156.28599999999278
60,0.0,170.40200000000186
63,0.0,184.54
63,1.0,121.79700000000594
66,0.0,275.85600000000005
66,1.0,138.09500000000116
69,0.0,291.3299999999999
69,1.0,147.91199999999662
72,1.0,141.0639999999985
72,0.0,271.33100000000013
75,1.0,141.2390000000014
75,0.0,267.5269999999998
78,1.0,131.82600000000093
78,0.0,248.702
81,0.0,238.94100000000003
81,1.0,148.9149999999936
84,1.0,137.1140000000014
84,0.0,175.7170000000001
87,0.0,166.45699999999988
87,1.0,139.5390000000043
90,1.0,141.85399999999208
90,0.0,184.12800000000016
93,1.0,154.53399999999965
93,0.0,266.99699999999984
96,0.0,271.5250000000001
96,1.0,135.44800000000396
99,0.0,284.39300000000003
99,1.0,139.54099999999744
102,0.0,282.85199999999986
102,1.0,136.63700000000244
105,1.0,150.02700000000186
105,0.0,302.25199999999995
108,0.0,294.23099999999977
108,1.0,142.65899999999965
111,1.0,134.346000000005
111,0.0,277.9310000000005
114,0.0,263.8819999999996
114,1.0,140.51299999999173
117,0.0,258.6080000000002
117,1.0,143.73500000000058
120,0.0,231.84000000000015
120,1.0,154.2850000000035
123,0.0,174.33600000000024
123,1.0,137.07300000000396
126,1.0,133.75299999999697
126,0.0,176.89800000000014
129,1.0,151.15200000000186
129,0.0,271.72899999999936
132,1.0,141.58099999999104
132,0.0,310.6990000000005
135,0.0,311.27099999999973
135,1.0,142.40899999999965
138,1.0,140.7670000000071
138,0.0,325.9440000000004
141,1.0,142.94099999999162
141,0.0,328.5179999999991
144,1.0,143.28600000000733
144,0.0,331.28700000000026
147,0.0,313.241
147,1.0,134.08400000000256
150,1.0,143.00899999999092
150,0.0,292.77300000000014
153,1.0,148.23600000000442
153,0.0,257.95600000000013
156,0.0,192.6229999999996
156,1.0,145.80299999999988
159,0.0,153.25500000000102
159,1.0,133.2609999999986
162,0.0,191.97699999999895
162,1.0,146.1310000000085
165,0.0,276.64500000000044
165,1.0,151.97699999999895
168,1.0,138.16700000000128
168,0.0,328.3250000000007
171,1.0,135.5329999999958
171,0.0,318.79099999999926
174,1.0,143.83499999999185
174,0.0,340.66400000000067
177,1.0,148.08400000000256
177,0.0,355.3130000000001
180,1.0,145.16500000000815
180,0.0,336.34699999999975
183,1.0,137.81699999999546
183,0.0,329.3639999999996
186,1.0,136.14599999999336
186,0.0,310.8279999999995
189,0.0,302.6180000000004
189,1.0,147.64100000000326
192,0.0,249.76000000000022
192,1.0,141.3810000000085
195,1.0,141.72699999999895
195,0.0,161.10299999999916
198,0.0,193.21700000000055
198,1.0,141.10599999999977
201,0.0,250.10499999999956
201,1.0,143.56999999999243
204,1.0,135.66100000000733
204,0.0,332.39900000000125
207,0.0,342.1919999999991
207,1.0,137.51600000000326
210,1.0,144.43499999999767
210,0.0,353.3799999999992
213,1.0,149.33899999999267
213,0.0,366.371000000001
216,1.0,143.09700000000885
216,0.0,348.771999999999
219,0.0,337.6750000000011
219,1.0,137.76299999999173
222,0.0,357.91899999999987
222,1.0,148.36000000000058
225,1.0,153.35000000000582
225,0.0,343.54899999999907
228,1.0,137.01900000000023
228,0.0,301.21800000000076
231,0.0,213.2569999999996
231,1.0,138.83000000000175
234,0.0,177.28900000000067
234,1.0,145.45799999999872
237,0.0,196.26699999999983
237,1.0,145.42799999999988
240,1.0,141.7149999999965
240,0.0,314.84900000000016
243,1.0,141.54699999999139
243,0.0,348.8240000000005
246,1.0,145.41800000000512
246,0.0,370.3590000000004
249,0.0,358.78700000000026
249,1.0,141.01499999999942
252,1.0,145.93300000000454
252,0.0,370.8580000000002
255,1.0,144.41099999999278
255,0.0,361.21500000000015
258,0.0,368.23099999999977
258,1.0,142.81700000001
261,1.0,143.80399999998917
261,0.0,369.3099999999977
264,0.0,365.0519999999997
264,1.0,141.89100000000326
267,1.0,143.1600000000035
267,0.0,367.91100000000006
270,1.0,144.34399999999732
270,0.0,228.6700000000019
273,1.0,157.89600000000792
273,0.0,199.49199999999837
276,0.0,189.8889999999992
276,1.0,145.87299999999232
279,1.0,140.90600000000268
279,0.0,186.35000000000218
282,1.0,135.09500000000116
282,0.0,182.33499999999913
285,1.0,153.51299999999173
285,0.0,204.3719999999994
288,1.0,138.81000000001222
288,0.0,188.91200000000026
291,1.0,135.71899999999732
291,0.0,185.41100000000006
294,1.0,139.51900000000023
294,0.0,175.0610000000015
297,0.0,196.48500000000058
297,1.0,153.87299999999232
300,1.0,144.58600000001024
300,0.0,191.4439999999995
303,0.0,219.30199999999968
303,1.0,131.96600000000035
306,0.0,216.2599999999984
306,1.0,134.3689999999915
309,0.0,253.31700000000274
309,1.0,157.1469999999972
312,0.0,215.99199999999837
312,1.0,137.6640000000043
315,0.0,226.83499999999913
315,1.0,144.01399999999558
318,0.0,207.67699999999968
318,1.0,131.08200000000943
321,0.0,175.38700000000244
321,1.0,150.9869999999937
324,0.0,188.0699999999997
324,1.0,144.10199999999895
327,0.0,186.0550000000003
327,1.0,130.63400000000547
330,0.0,253.3729999999996
330,1.0,141.1070000000036
333,0.0,272.9019999999982
333,1.0,152.8229999999894
336,0.0,251.40400000000227
336,1.0,139.82100000001083
339,0.0,240.50299999999697
339,1.0,138.4149999999936
342,0.0,257.71500000000015
342,1.0,142.50299999999697
345,1.0,153.22000000000116
345,0.0,257.94400000000314
348,1.0,140.778999999995
348,0.0,209.34199999999691
351,1.0,138.55500000000757
351,0.0,201.45800000000236
354,1.0,136.76499999999942
354,0.0,160.6479999999974
357,1.0,152.67399999999907
357,0.0,195.87200000000303
360,1.0,143.88400000000547
360,0.0,201.28700000000026
363,1.0,129.33499999999185
363,0.0,256.43199999999706
366,1.0,138.60400000000664
366,0.0,278.28399999999965
369,1.0,151.95199999999022
369,0.0,293.8780000000006
372,1.0,142.53200000000652
372,0.0,276.2800000000025
375,1.0,146.13099999999395
375,0.0,283.0609999999979
378,1.0,129.69000000000233
378,0.0,257.96800000000076
381,1.0,145.42200000000594
381,0.0,249.58699999999953
384,1.0,150.55400000000373
384,0.0,201.28700000000026
387,1.0,137.06299999999464
387,0.0,179.08599999999933
390,1.0,142.24799999999232
390,0.0,170.66400000000067
393,1.0,145.1020000000135
393,0.0,203.06200000000172
396,0.0,260.8169999999991
396,1.0,138.2049999999872
399,0.0,272.7330000000002
399,1.0,133.36500000000524
402,0.0,288.8099999999977
402,1.0,138.33900000000722
405,0.0,307.6419999999998
405,1.0,151.04299999999057
408,0.0,284.6190000000024
408,1.0,135.78699999999662
411,0.0,282.6749999999993
411,1.0,133.63900000001013
414,0.0,284.58599999999933
414,1.0,139.22299999999814
417,1.0,146.51399999999558
417,0.0,274.724000000002
420,1.0,153.09300000000803
420,0.0,248.12899999999718
423,0.0,188.64800000000105
423,1.0,136.11999999999534
426,0.0,176.92399999999907
426,1.0,147.57300000000396
429,1.0,145.2219999999943
429,0.0,191.16100000000006
432,0.0,272.5310000000027
432,1.0,138.1319999999978
435,0.0,307.22499999999854
435,1.0,138.42600000000675
438,1.0,138.87799999999697
438,0.0,314.06700000000274
441,0.0,324.75799999999435
441,1.0,144.92200000000594
444,1.0,138.74499999999534
444,0.0,309.0810000000056
447,1.0,138.87099999999919
447,0.0,312.9150000000009
450,0.0,315.5349999999962
450,1.0,143.31200000000536
453,0.0,295.95300000000134
453,1.0,154.6319999999978
456,1.0,145.5619999999908
456,0.0,283.4589999999953
459,1.0,132.58200000000943
459,0.0,163.77300000000105
462,0.0,186.50800000000163
462,1.0,148.91300000000047
465,1.0,149.79699999999139
465,0.0,204.99199999999837
468,1.0,138.50400000000081
468,0.0,323.0430000000051
471,0.0,304.74499999999534
471,1.0,128.3350000000064
474,0.0,344.31000000000495
474,1.0,143.46600000000035
477,1.0,145.87200000000303
477,0.0,352.41799999999785
480,0.0,363.150999999998
480,1.0,154.64899999999034
483,0.0,314.2830000000031
483,1.0,132.0219999999972
486,0.0,325.59300000000076
486,1.0,134.87200000000303
489,1.0,149.48399999999674
489,0.0,302.51199999999517
492,0.0,289.2410000000018
492,1.0,145.06400000001304
495,0.0,218.4340000000011
495,1.0,147.7199999999866
498,0.0,166.5460000000021
498,1.0,140.29400000000896
501,0.0,192.23599999999715
501,1.0,143.2219999999943
504,0.0,303.7320000000036
504,1.0,142.89400000000023
507,0.0,329.29299999999785
507,1.0,131.63400000000547
510,0.0,357.5550000000003
510,1.0,144.70500000000175
513,0.0,358.15200000000186
513,1.0,145.62699999999313
516,0.0,364.37899999999354
516,1.0,148.20500000000175
519,1.0,138.77300000000105
519,0.0,341.14800000000105
522,1.0,143.05299999999988
522,0.0,348.83899999999994
525,1.0,151.07799999999406
525,0.0,341.28199999999924
528,1.0,146.91900000000896
528,0.0,336.16100000000006
531,1.0,131.34999999999127
531,0.0,288.6600000000035
534,1.0,142.20900000000256
534,0.0,166.51900000000023
537,1.0,153.71300000000338
537,0.0,200.13500000000204
540,1.0,148.3399999999965
540,0.0,247.5020000000004
543,1.0,134.38300000000163
543,0.0,333.10599999999977
546,0.0,365.36499999999796
546,1.0,142.7039999999979
549,0.0,391.8199999999997
549,1.0,157.77599999999802
552,0.0,347.30399999999645
552,1.0,137.2780000000057
555,0.0,363.512999999999
555,1.0,145.21600000000035
558,0.0,362.8290000000052
558,1.0,140.83400000000256
561,0.0,367.0709999999963
561,1.0,142.65499999999884
564,0.0,370.88000000000466
564,1.0,144.0350000000035
567,1.0,137.88399999999092
567,0.0,357.07799999999406
570,1.0,146.98799999999756
570,0.0,334.68700000000536
573,1.0,156.26900000000023
573,0.0,186.82999999999447
576,1.0,146.03300000001036
576,0.0,192.6800000000003
579,1.0,134.73399999999674
579,0.0,177.7850000000035
582,0.0,191.29499999999825
582,1.0,140.8969999999972
585,0.0,210.83299999999872
585,1.0,158.6640000000043
588,0.0,185.12400000000343
588,1.0,138.66199999999662
591,1.0,136.8819999999978
591,0.0,185.0329999999958
594,1.0,139.28800000000047
594,0.0,181.02000000000407
597,1.0,153.00900000000547
597,0.0,174.7129999999961
600,0.0,197.9010000000053
600,1.0,154.01499999999942
603,1.0,129.596000000005
603,0.0,189.1949999999997
606,0.0,223.25499999999738
606,1.0,139.2369999999937
609,0.0,241.49399999999878
609,1.0,150.221000000005
612,0.0,229.72699999999895
612,1.0,144.54200000000128
615,0.0,220.96300000000338
615,1.0,141.46799999999348
618,0.0,214.86699999999837
618,1.0,133.05499999999302
621,1.0,151.45900000000256
621,0.0,206.00300000000425
624,1.0,147.35100000000966
624,0.0,174.95799999999872
627,0.0,179.04499999999825
627,1.0,131.3469999999943
630,0.0,226.93699999999808
630,1.0,139.096000000005
633,1.0,151.03399999999965
633,0.0,284.0509999999995
636,0.0,255.9690000000046
636,1.0,137.20100000000093
639,0.0,251.97000000000116
639,1.0,134.99899999999616
642,1.0,136.74499999999534
642,0.0,252.72899999999936
645,1.0,156.16300000000047
645,0.0,278.650999999998
648,1.0,142.5679999999993
648,0.0,216.84100000000035
651,0.0,157.99399999999878
651,1.0,131.4320000000007
654,0.0,184.2520000000004
654,1.0,138.12700000000768
657,1.0,146.00999999999476
657,0.0,249.79099999999744
660,0.0,276.5590000000011
660,1.0,145.1579999999958
663,1.0,141.71400000000722
663,0.0,275.5920000000042
666,0.0,263.44199999999546
666,1.0,130.85499999999593
669,0.0,308.58600000000297
669,1.0,155.1009999999951
672,0.0,266.70100000000093
672,1.0,138.39600000000792
675,0.0,262.8159999999989
675,1.0,139.24799999999232
678,1.0,138.50900000000547
678,0.0,223.47099999999773
681,1.0,148.47500000000582
681,0.0,208.65299999999843
684,1.0,148.46199999999953
684,0.0,174.38000000000466
687,0.0,178.58899999999994
687,1.0,131.37799999999697
690,0.0,247.1359999999986
690,1.0,146.85899999999674
693,0.0,296.33899999999994
693,1.0,147.36699999999837
696,1.0,134.1429999999964
696,0.0,273.76600000000326
699,0.0,282.7239999999947
699,1.0,138.77300000000105
702,1.0,143.60800000000745
702,0.0,294.31200000000536
705,1.0,152.3399999999965
705,0.0,306.4319999999934
708,1.0,142.67799999999988
708,0.0,295.64100000000326
711,1.0,126.95299999999406
711,0.0,256.2609999999986
714,0.0,250.76400000000285
714,1.0,148.90600000000268
717,1.0,145.83299999999872
717,0.0,197.7019999999975
720,1.0,152.65899999999965
720,0.0,173.04899999999907
723,1.0,136.01400000001013
723,0.0,189.47699999999895
726,1.0,139.84599999999045
726,0.0,246.05400000000373
729,0.0,328.7779999999984
729,1.0,148.31200000000536
732,0.0,302.5400000000009
732,1.0,137.2670000000071
735,0.0,305.0500000000029
735,1.0,146.7719999999972
738,1.0,136.1009999999951
738,0.0,303.8119999999981
741,0.0,322.640999999996
741,1.0,142.97299999999814
744,1.0,144.20799999999872
744,0.0,323.7130000000034
747,1.0,131.99199999999837
747,0.0,278.99899999999616
750,1.0,145.13300000000163
750,0.0,272.0610000000015
753,1.0,151.16800000000512
753,0.0,246.85900000000402
